 INFO  Accepting connections at http://localhost:8000
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/%E6%9B%B4%E9%9D%A0%E8%B0%B1%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/%E6%9B%B4%E4%B8%93%E4%B8%9A%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 0 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/%E6%9B%B4%E5%AE%89%E5%85%A8%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/%E5%BB%BA%E5%9B%BE%E6%95%88%E7%8E%87%E5%AF%B9%E6%AF%94%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 0 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/%E6%9B%B4%E5%87%86%E7%A1%AE%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/%E5%87%86%E7%A1%AE%E7%8E%87%E5%AF%B9%E6%AF%94%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /images/icons/SoE%E5%8A%A0%E5%AF%86%E5%9B%BE%E6%A0%87.png
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 0 ms
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 GET /favicon.ico
 HTTP  9/28/2025 2:27:45 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:39:33 PM 180.88.98.21 GET /technology
 HTTP  9/28/2025 2:39:33 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:39:33 PM 180.88.98.21 GET /assets/index-6ba4e8ee.js
 HTTP  9/28/2025 2:39:33 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:39:33 PM 180.88.98.21 GET /assets/index-2d06acda.css
 HTTP  9/28/2025 2:39:33 PM 180.88.98.21 Returned 200 in 1 ms
 HTTP  9/28/2025 2:39:34 PM 180.88.98.21 GET /assets/Technology-c7714c44.js
